,changeeconomy,econpersonalretro,changeimmig,controlimmig,effectseunhs,effectseuunemployment,effectseuimmigration,effectseuecon,happyeuleave
2383,-0.5,-0.5,2.0,1.0,6,1,-1,6,2
2384,1.0,-0.5,1.0,2.0,1,1,-1,1,1
2385,1.0,1.0,1.0,1.0,1,1,1,1,1
2386,-0.5,-0.5,1.0,1.0,1,1,-1,-1,2
2387,-2.0,1.0,1.0,1.0,-1,1,1,-2,1
2388,1.0,1.0,1.0,2.0,1,1,1,1,2
2389,1.0,6.0,0.5,0.5,1,1,1,1,2
2390,-0.5,1.0,1.0,1.0,1,1,1,-1,1
2391,-0.5,1.0,0.5,0.5,1,1,1,1,2
2392,-0.5,-0.5,1.0,1.0,-1,1,1,1,1
2393,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
2394,-2.0,-2.0,1.0,1.0,-2,2,1,-2,2
2395,-2.0,-2.0,1.0,1.0,-2,2,1,-2,2
2396,-0.5,-0.5,0.5,1.0,-1,1,1,-1,1
2397,1.0,-2.0,1.0,1.0,1,1,1,1,2
2398,1.0,-0.5,1.0,1.0,1,1,1,1,1
2399,-2.0,-0.5,1.0,1.0,-1,1,1,-1,1
2400,1.0,1.0,1.0,1.0,-1,1,1,1,2
2401,1.5,1.5,1.0,2.0,3,1,-1,1,1
2402,1.0,1.0,1.0,1.0,1,1,1,1,1
2403,-2.0,1.0,0.5,1.0,-1,2,1,-2,1
2404,1.5,6.0,1.0,1.0,1,1,1,1,2
2405,1.0,-0.5,2.0,1.0,3,-1,-1,1,1
2406,-0.5,1.0,1.0,2.0,3,1,1,3,2
2407,-0.5,1.0,0.5,2.0,3,1,-1,3,2
2408,1.0,1.0,1.0,1.0,3,1,2,1,1
2409,-2.0,-0.5,0.5,1.0,-2,2,1,-2,2
2410,1.0,1.0,1.0,1.0,1,1,-1,1,2
2411,-0.5,-0.5,-2.0,2.0,-1,1,-1,-2,2
2412,1.0,1.0,1.0,1.0,1,1,-1,1,2
2413,1.5,1.0,2.0,2.0,3,1,1,3,2
2414,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
2415,1.5,6.0,1.0,2.0,3,1,-2,1,2
2416,1.0,1.5,1.0,1.0,1,1,1,1,1
2417,-0.5,-0.5,1.0,0.5,-2,2,1,1,2
2418,-0.5,1.5,1.0,0.5,1,1,1,-1,2
2419,-2.0,1.5,2.0,0.5,1,1,1,1,1
2420,1.0,-0.5,0.5,2.0,3,-1,-1,1,2
2421,-2.0,-2.0,1.0,1.0,1,1,-1,1,2
2422,-2.0,1.0,1.0,0.5,-2,2,1,-2,2
2423,-2.0,-2.0,1.0,1.0,-1,1,1,-1,1
2424,1.5,1.0,2.0,1.0,1,1,-1,3,2
2425,1.5,1.0,-0.5,2.0,3,-1,-1,3,2
2426,1.0,1.0,-0.5,2.0,1,1,1,1,1
2427,1.0,1.5,1.0,1.0,-1,1,1,1,1
2428,-0.5,1.0,1.0,1.0,-2,1,-1,-1,2
2429,-0.5,1.0,0.5,2.0,-1,1,-1,-1,2
2430,1.0,1.0,0.5,2.0,1,1,1,1,2
2431,1.5,-0.5,1.0,1.0,-1,1,1,-1,1
2432,-0.5,1.0,0.5,1.0,1,1,1,1,1
2433,6.0,1.0,1.0,1.0,3,1,-1,1,2
2434,1.5,1.5,0.5,1.0,3,1,-2,3,1
2435,-0.5,-0.5,0.5,1.0,-1,1,-1,3,2
2436,1.0,1.0,1.0,2.0,-1,1,1,3,2
2437,-0.5,-0.5,0.5,0.5,-2,2,2,-2,2
2438,1.0,1.0,1.0,0.5,1,1,1,1,1
2439,1.0,1.5,-0.5,2.0,3,-1,-1,1,2
2440,1.0,-0.5,1.0,0.5,-1,1,1,-1,1
2441,1.0,1.0,0.5,2.0,1,1,-1,1,2
2442,-0.5,-0.5,1.0,1.0,-1,2,1,-1,1
2443,1.5,1.5,0.5,2.0,1,1,-1,3,1
2444,-0.5,-0.5,0.5,1.0,-1,1,-1,-1,1
2445,1.0,1.0,1.0,1.0,1,-1,1,1,2
2446,1.5,1.0,1.0,1.0,1,1,-1,1,1
2447,-0.5,-0.5,1.0,2.0,-1,1,1,-2,1
2448,1.5,1.0,2.0,1.0,6,1,-2,6,2
2449,1.0,-0.5,1.0,1.0,1,-1,-1,3,2
2450,1.0,1.0,-0.5,1.0,1,-1,-1,1,2
2451,1.5,1.0,1.0,2.0,3,1,-1,3,2
2452,-0.5,-0.5,1.0,1.0,-1,1,1,-1,2
2453,1.0,1.0,2.0,1.0,1,1,-1,1,2
2454,1.0,1.5,-0.5,2.0,3,-1,-1,3,2
2455,-0.5,-0.5,1.0,2.0,-2,1,1,-2,2
2456,-0.5,1.0,1.0,1.0,-1,-1,1,-1,1
2457,1.0,-2.0,1.0,1.0,1,1,-1,1,1
2458,1.5,1.0,2.0,2.0,3,1,-1,3,2
2459,1.0,1.0,1.0,1.0,1,1,-1,1,1
2460,-0.5,1.5,1.0,1.0,3,1,-1,3,2
2461,1.0,-0.5,0.5,0.5,-2,1,1,-1,1
2462,-0.5,1.0,-0.5,0.5,-1,2,-2,-2,1
2463,-2.0,1.0,-0.5,1.0,-1,2,1,-2,2
2464,-0.5,-0.5,0.5,1.0,1,1,-1,-1,1
2465,1.0,-2.0,1.0,1.0,1,1,1,1,2
2466,-0.5,1.0,1.0,1.0,1,1,1,1,1
2467,1.0,1.5,1.0,0.5,1,1,1,1,2
2468,-0.5,1.0,-0.5,0.5,-1,1,-1,-1,1
2469,1.0,-0.5,1.0,1.0,1,1,-1,1,2
2470,-0.5,1.0,1.0,1.0,1,1,1,-1,1
2471,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
2472,-2.0,-0.5,2.0,0.5,1,1,1,1,1
2473,1.0,-0.5,1.0,1.0,-1,-1,-1,-1,1
2474,1.0,1.0,0.5,1.0,3,1,-1,1,2
2475,1.0,1.0,-0.5,2.0,3,1,-1,3,2
2476,1.0,1.0,-0.5,2.0,3,1,-1,1,1
2477,-2.0,-2.0,1.0,1.0,-1,1,-1,1,1
2478,-0.5,-0.5,2.0,1.0,1,-1,-1,1,1
2479,-0.5,-0.5,0.5,2.0,-1,1,-1,-1,1
2480,1.5,1.0,0.5,1.0,3,1,-2,-1,1
2481,1.5,1.0,-0.5,1.0,1,1,-1,1,1
2482,-0.5,-0.5,1.0,0.5,-1,1,1,-1,1
2483,1.5,1.0,0.5,2.0,1,-1,1,1,1
2484,-0.5,1.0,1.0,0.5,-2,1,1,-1,1
2485,-0.5,1.0,1.0,1.0,-2,1,1,-1,1
2486,1.5,1.0,-2.0,1.0,6,1,2,1,2
2487,-0.5,-0.5,-0.5,1.0,3,1,-1,3,2
2488,-0.5,-0.5,0.5,1.0,3,1,1,3,2
2489,-0.5,1.5,0.5,1.0,1,1,1,1,1
2490,-2.0,1.0,2.0,2.0,3,-1,-2,3,2
2491,1.0,1.0,0.5,2.0,3,-1,1,3,1
2492,-2.0,-2.0,1.0,1.0,-2,2,1,-2,2
2493,1.0,1.0,0.5,1.0,1,1,-1,1,2
2494,1.5,1.0,1.0,1.0,6,1,1,-1,2
2495,1.0,1.0,1.0,1.0,1,1,1,1,1
2496,1.0,1.0,1.0,1.0,1,1,1,1,1
2497,1.0,1.0,-0.5,1.0,3,1,-1,1,1
2498,1.0,1.0,1.0,1.0,3,1,-1,1,1
2499,1.5,-0.5,0.5,2.0,3,1,-1,1,1
2500,-0.5,1.0,1.0,2.0,1,1,1,1,1
2501,-0.5,-0.5,1.0,2.0,1,1,-1,3,1
2502,1.0,1.0,1.0,1.0,-1,1,1,-1,1
2503,1.0,1.0,-0.5,2.0,3,1,-2,3,1
2504,1.0,1.0,1.0,1.0,1,1,-1,1,1
2505,-2.0,-0.5,-0.5,0.5,-1,1,1,-2,2
2506,-2.0,1.0,1.0,0.5,-2,1,1,-2,2
2507,1.0,1.0,1.0,2.0,1,1,-1,1,1
2508,-2.0,1.0,1.0,0.5,-2,-1,-1,-2,2
2509,1.5,1.0,2.0,1.0,1,1,-1,3,2
2510,1.0,1.0,1.0,1.0,-2,2,-2,-2,1
2511,1.0,1.0,0.5,0.5,1,1,-1,3,1
2512,-0.5,1.0,2.0,1.0,3,-1,1,1,2
2513,-2.0,-0.5,0.5,2.0,3,1,-2,1,1
2514,1.0,1.0,1.0,2.0,1,1,-1,-1,1
2515,-2.0,-2.0,1.0,0.5,-2,-1,1,-2,1
2516,-2.0,-0.5,-0.5,2.0,-2,2,1,-1,2
2517,-0.5,1.0,1.0,0.5,1,1,1,-1,1
2518,-2.0,-2.0,1.0,1.0,-2,2,1,-2,2
2519,1.0,1.0,1.0,0.5,1,1,1,1,1
2520,-2.0,-0.5,1.0,2.0,-2,1,1,-2,2
2521,1.0,-0.5,0.5,2.0,1,1,1,1,2
2522,-2.0,6.0,-0.5,2.0,-1,1,1,-1,2
2523,1.5,-2.0,2.0,1.0,3,1,-2,3,1
2524,1.0,1.0,1.0,0.5,1,1,1,-2,2
2525,-2.0,-2.0,1.0,1.0,-1,2,1,-1,2
2526,1.0,1.0,0.5,2.0,1,1,1,1,1
2527,1.0,1.0,1.0,1.0,1,1,1,1,1
2528,-2.0,-0.5,-0.5,0.5,-2,2,1,-2,2
2529,-0.5,-2.0,0.5,0.5,-2,-2,1,-1,2
2530,1.0,1.0,1.0,1.0,1,1,1,1,1
2531,-2.0,-0.5,-0.5,1.0,-2,2,1,-2,2
2532,-0.5,-0.5,1.0,2.0,1,-1,-1,1,2
2533,-0.5,1.0,1.0,2.0,-2,2,1,-2,2
2534,-2.0,1.0,1.0,2.0,-2,1,-1,-1,2
2535,1.0,1.0,1.0,0.5,-2,1,1,-1,2
2536,-0.5,1.0,1.0,1.0,1,1,1,-1,1
2537,-2.0,-0.5,-0.5,0.5,-2,1,-2,-2,2
2538,-0.5,1.0,-0.5,1.0,-1,1,1,-1,1
2539,1.0,-0.5,1.0,1.0,1,1,1,1,1
2540,1.0,1.0,1.0,2.0,1,1,1,1,2
2541,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
2542,-2.0,1.5,1.0,0.5,-2,1,1,-2,1
2543,-2.0,1.0,1.0,0.5,-1,2,1,-1,2
2544,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
2545,-0.5,1.0,1.0,1.0,-1,1,1,-1,2
2546,1.0,1.0,2.0,1.0,3,-2,-2,3,2
2547,-0.5,1.0,-0.5,0.5,-2,1,1,-1,1
2548,-0.5,1.5,1.0,0.5,-2,1,1,-2,2
2549,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
2550,-0.5,1.5,1.0,1.0,-1,1,-1,-1,1
2551,1.0,1.5,1.0,0.5,-1,1,1,-1,2
2552,1.5,1.0,1.0,1.0,-2,1,1,-2,1
2553,1.0,-0.5,1.0,2.0,-2,1,1,1,1
2554,-0.5,1.0,1.0,1.0,1,1,1,1,1
2555,-0.5,1.5,1.0,1.0,-1,1,1,-1,1
2556,-2.0,-2.0,1.0,1.0,-2,2,2,-2,2
2557,-2.0,-0.5,-0.5,1.0,-1,1,-1,-1,1
2558,-0.5,-0.5,1.0,1.0,-1,1,1,-1,1
2559,-0.5,1.0,1.0,0.5,-1,1,1,-1,2
2560,-0.5,-2.0,1.0,1.0,-1,1,1,-1,1
2561,1.5,-0.5,1.0,1.0,1,1,-1,1,1
2562,-0.5,-0.5,1.0,1.0,-2,1,1,-2,2
2563,-2.0,1.0,1.0,1.0,-2,1,1,-2,2
2564,-2.0,-2.0,2.0,1.0,-2,2,2,-1,2
2565,-0.5,-0.5,1.0,1.0,1,1,1,1,2
2566,-0.5,-2.0,1.0,0.5,-2,1,1,-2,2
2567,1.0,1.0,0.5,1.0,1,1,-1,-1,1
2568,1.0,1.0,1.0,1.0,1,1,1,1,1
2569,-0.5,-0.5,1.0,1.0,1,1,1,-2,1
2570,1.5,-0.5,0.5,1.0,1,1,1,1,1
2571,1.0,-0.5,1.0,2.0,1,1,-1,1,1
2572,1.0,1.0,1.0,0.5,-1,1,1,-1,1
2573,-0.5,1.0,0.5,0.5,-1,1,1,-1,2
2574,1.0,1.0,1.0,2.0,1,1,1,-1,1
2575,6.0,1.5,0.5,2.0,1,1,1,1,1
2576,-0.5,1.0,1.0,1.0,-1,1,-1,-1,2
2577,-0.5,1.0,1.0,1.0,-2,2,1,-2,2
2578,1.0,1.0,2.0,1.0,3,1,-2,3,2
2579,-2.0,1.0,1.0,1.0,-2,1,-1,-1,2
2580,-2.0,-0.5,1.0,1.0,-2,2,1,-2,1
2581,1.5,1.5,0.5,2.0,3,-1,-1,3,2
2582,-0.5,1.0,-0.5,2.0,3,1,-1,-1,2
2583,-2.0,-0.5,0.5,0.5,-1,1,1,-1,2
2584,1.0,-0.5,1.0,1.0,1,1,-2,-1,1
2585,1.0,1.0,1.0,2.0,-2,1,-1,1,1
2586,-0.5,6.0,1.0,0.5,-1,1,1,-1,2
2587,-0.5,6.0,1.0,1.0,-2,1,1,-2,2
2588,-2.0,1.0,0.5,1.0,1,1,1,1,1
2589,-0.5,1.5,1.0,1.0,-1,2,-1,-2,2
2590,-0.5,1.0,1.0,1.0,1,1,1,1,1
2591,1.0,1.0,1.0,1.0,1,1,1,1,1
2592,1.0,1.0,0.5,0.5,1,1,1,1,1
2593,1.5,6.0,0.5,1.0,3,1,1,3,2
2594,1.0,1.0,0.5,1.0,1,1,1,-1,1
2595,-0.5,1.0,-0.5,0.5,-1,1,-1,-1,1
2596,-0.5,1.0,1.0,0.5,1,1,1,-1,1
2597,-2.0,-2.0,2.0,1.0,-1,-1,2,-1,1
2598,-0.5,1.0,1.0,1.0,-2,2,-2,-2,2
2599,1.0,1.0,1.0,1.0,1,1,1,1,1
2600,1.0,1.0,2.0,2.0,6,-1,-1,1,2
2601,1.0,1.0,1.0,1.0,1,1,-1,1,1
2602,-2.0,-0.5,0.5,0.5,-1,1,1,-1,1
2603,1.0,-0.5,-0.5,1.0,1,1,1,1,1
2604,-2.0,-2.0,-0.5,1.0,-2,2,1,-2,2
2605,-0.5,1.0,1.0,1.0,-1,-1,-1,-1,1
2606,-0.5,1.0,1.0,1.0,-2,2,2,-2,2
2607,-2.0,1.5,1.0,1.0,-2,2,1,-2,1
2608,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
2609,-0.5,-2.0,-0.5,1.0,3,1,1,6,1
2610,1.0,1.0,1.0,0.5,1,1,1,-2,1
2611,-0.5,-0.5,1.0,1.0,-1,1,1,-1,2
2612,-2.0,-0.5,1.0,0.5,-2,2,2,-2,2
2613,1.0,-0.5,0.5,1.0,1,1,-1,1,1
2614,1.0,1.0,-0.5,2.0,-2,1,-2,-1,2
2615,-0.5,1.0,-0.5,1.0,-1,2,-1,-1,2
2616,-2.0,-2.0,0.5,1.0,-2,2,1,-2,2
2617,1.0,1.0,-0.5,1.0,1,-1,1,3,2
2618,1.5,1.5,1.0,1.0,3,1,1,1,1
2619,1.5,-0.5,-0.5,1.0,-1,1,-1,-1,1
2620,-2.0,-0.5,2.0,1.0,-2,2,1,-2,2
2621,-2.0,-2.0,2.0,1.0,-2,-2,2,-2,2
2622,-0.5,1.0,1.0,2.0,1,1,-1,1,1
2623,-0.5,1.0,0.5,1.0,1,1,1,1,1
2624,1.0,1.0,1.0,1.0,1,1,-1,1,1
2625,-0.5,1.0,1.0,0.5,-2,2,1,-2,2
2626,6.0,1.5,0.5,1.0,-1,-1,-1,-1,1
2627,-0.5,1.0,-0.5,2.0,3,1,-1,-1,1
2628,-0.5,1.5,1.0,1.0,1,1,-1,1,1
2629,-0.5,-0.5,1.0,1.0,-1,1,-1,-1,2
2630,1.0,1.0,1.0,1.0,1,1,1,1,1
2631,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
2632,-0.5,-0.5,1.0,1.0,-1,1,1,-2,2
2633,-0.5,-0.5,1.0,1.0,-2,1,1,-2,2
2634,-2.0,-0.5,1.0,1.0,-1,1,1,-1,1
2635,1.0,1.0,1.0,1.0,1,1,1,1,1
2636,1.0,1.0,2.0,0.5,1,1,1,1,1
2637,-2.0,1.0,1.0,1.0,-1,1,-1,-2,1
2638,-2.0,-2.0,1.0,1.0,-2,2,1,-2,2
2639,-0.5,1.5,1.0,1.0,-2,1,1,-1,2
2640,-0.5,1.0,1.0,1.0,1,1,1,1,1
2641,-0.5,1.0,-0.5,1.0,-1,1,-1,-1,1
2642,1.0,1.0,1.0,1.0,1,1,1,1,1
2643,-2.0,1.0,-0.5,0.5,-2,1,1,-2,2
2644,-0.5,-2.0,1.0,1.0,-2,1,1,-2,1
2645,1.0,1.0,2.0,2.0,1,1,-2,3,2
2646,-2.0,1.0,-0.5,1.0,-2,1,1,-2,2
2647,-0.5,-0.5,1.0,2.0,1,1,1,-1,1
2648,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
2649,-0.5,6.0,1.0,0.5,-2,-1,1,-1,2
2650,-0.5,1.0,1.0,0.5,-2,-1,1,-2,2
2651,-0.5,-0.5,1.0,1.0,-2,2,-1,-2,2
2652,-0.5,1.0,1.0,0.5,-1,1,1,-1,1
2653,-2.0,1.5,1.0,1.0,-2,2,1,-2,2
2654,-2.0,1.5,1.0,0.5,-2,1,1,-2,2
2655,1.0,6.0,1.0,1.0,1,1,1,1,1
2656,1.0,1.0,1.0,1.0,-1,1,1,-1,1
2657,1.0,-0.5,1.0,2.0,-1,-1,-1,-1,2
2658,1.0,1.0,1.0,0.5,-2,1,2,-2,2
2659,1.5,1.0,-0.5,1.0,3,1,1,1,1
2660,-2.0,1.0,1.0,0.5,-2,2,2,-2,2
2661,-0.5,1.5,-0.5,1.0,-1,1,1,-1,1
2662,-2.0,1.0,1.0,1.0,-2,1,1,-2,2
2663,1.0,-0.5,2.0,2.0,1,1,1,1,2
2664,1.0,1.0,1.0,1.0,1,1,1,1,1
2665,1.0,1.0,1.0,1.0,1,1,1,1,1
2666,1.5,1.0,1.0,2.0,3,1,-1,3,2
2667,-0.5,1.0,1.0,0.5,-1,1,-1,-1,2
2668,-2.0,1.0,-0.5,1.0,-2,2,-1,-2,1
2669,1.0,1.0,-0.5,1.0,1,1,-1,1,1
2670,-0.5,1.0,1.0,2.0,-1,1,1,-1,2
2671,-2.0,1.5,1.0,1.0,-2,2,1,-2,2
2672,-0.5,-0.5,0.5,0.5,-1,1,1,-1,2
2673,1.0,1.0,1.0,1.0,1,1,1,1,1
2674,1.0,1.0,0.5,1.0,1,1,1,1,2
2675,1.0,1.0,1.0,1.0,1,1,-1,1,1
2676,1.5,-0.5,0.5,1.0,-1,1,1,1,1
2677,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
2678,1.5,1.0,1.0,2.0,1,1,1,1,1
2679,-2.0,1.0,1.0,1.0,-1,1,1,-1,1
2680,-2.0,1.0,-0.5,1.0,1,1,1,1,2
2681,-2.0,-0.5,1.0,2.0,-2,2,-1,-2,1
2682,1.0,1.0,0.5,2.0,1,1,-1,1,2
2683,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
2684,1.5,1.0,-0.5,1.0,3,-1,-1,1,2
2685,-0.5,1.0,0.5,2.0,1,1,-1,-1,1
2686,1.0,1.0,1.0,1.0,1,1,1,1,1
2687,1.0,1.5,0.5,1.0,1,-2,-2,6,2
2688,1.0,1.0,1.0,1.0,1,1,1,1,1
2689,1.5,1.5,-0.5,2.0,1,1,-2,1,2
2690,-0.5,1.0,1.0,1.0,-1,1,1,-2,2
2691,1.5,1.0,1.0,2.0,1,1,-1,3,2
2692,-0.5,-2.0,-0.5,1.0,3,1,1,1,1
2693,6.0,-0.5,0.5,1.0,6,1,1,6,1
2694,1.0,1.0,0.5,2.0,1,1,-1,3,2
2695,1.0,1.5,1.0,1.0,3,-1,-1,3,1
2696,-0.5,1.0,-0.5,2.0,-1,1,-1,-1,1
2697,1.0,1.0,1.0,2.0,1,1,1,1,1
2698,-0.5,1.0,-0.5,2.0,-1,1,-1,-1,1
2699,-2.0,-2.0,1.0,1.0,-2,-2,1,-2,2
2700,1.0,1.0,2.0,2.0,1,1,1,1,2
2701,1.0,1.0,1.0,1.0,1,-1,-1,-1,2
2702,1.0,1.0,1.0,1.0,1,1,1,1,1
2703,-2.0,-0.5,1.0,1.0,-1,1,1,-2,2
2704,1.0,1.0,1.0,1.0,1,1,1,1,1
2705,1.0,1.0,1.0,1.0,-1,1,1,-1,1
2706,1.5,-0.5,0.5,1.0,-1,1,-1,1,1
2707,1.5,1.0,2.0,1.0,1,1,-1,-1,2
2708,1.0,1.0,0.5,1.0,1,1,-1,3,2
2709,1.0,1.5,1.0,1.0,1,1,1,1,2
2710,-0.5,-0.5,0.5,1.0,3,1,-1,-1,1
2711,-2.0,1.0,1.0,1.0,-2,2,1,-2,2
2712,1.0,1.0,1.0,1.0,3,1,-1,3,2
2713,-0.5,1.0,1.0,1.0,-1,1,1,-1,2
2714,6.0,-2.0,0.5,2.0,3,-2,-1,3,2
2715,-0.5,-0.5,1.0,1.0,1,1,1,-2,2
2716,1.5,-0.5,-0.5,1.0,3,1,-1,3,2
2717,1.0,1.0,1.0,1.0,1,1,1,1,1
2718,1.5,1.0,1.0,2.0,1,1,1,1,2
2719,-0.5,-2.0,2.0,1.0,-1,1,1,-2,2
2720,-0.5,1.0,-0.5,1.0,1,1,-1,-1,1
2721,-0.5,-0.5,-0.5,1.0,-2,1,1,-2,2
2722,1.0,1.0,1.0,1.0,1,1,-1,1,2
2723,-0.5,1.0,-0.5,2.0,-2,1,-1,-1,2
2724,-0.5,-0.5,1.0,1.0,-2,1,-1,-2,1
2725,-0.5,1.0,1.0,1.0,-1,1,-1,-1,2
2726,1.5,1.5,2.0,1.0,3,-1,-1,3,2
2727,-0.5,1.0,1.0,1.0,-1,1,1,-2,2
2728,-0.5,1.0,0.5,1.0,6,1,-1,6,1
2729,1.0,-0.5,2.0,1.0,6,1,-1,6,2
2730,-0.5,1.0,0.5,1.0,1,2,-1,-1,1
2731,1.0,1.0,-0.5,1.0,1,1,-2,1,1
2732,1.0,1.0,1.0,1.0,1,1,1,1,1
2733,-0.5,-0.5,1.0,0.5,-1,1,1,-1,1
2734,-0.5,1.0,-0.5,0.5,-1,1,-1,-1,2
2735,-2.0,1.0,1.0,1.0,-1,1,1,-2,2
2736,1.0,-0.5,1.0,1.0,1,1,1,1,2
2737,1.0,1.0,-0.5,2.0,1,1,-1,-1,1
2738,-0.5,1.0,1.0,0.5,-1,1,1,-1,1
2739,-0.5,-0.5,1.0,2.0,-2,2,1,-2,2
2740,1.5,1.5,1.0,2.0,3,-1,-1,3,2
2741,1.5,1.0,0.5,2.0,1,1,-1,1,1
2742,1.0,1.0,1.0,1.0,1,1,1,1,1
2743,-0.5,1.0,1.0,1.0,1,1,1,-1,1
2744,1.0,1.0,1.0,2.0,-1,1,-1,1,1
2745,-2.0,-0.5,0.5,0.5,-1,-2,1,-2,2
2746,-0.5,1.0,1.0,1.0,-2,1,1,-1,2
2747,-0.5,1.5,0.5,1.0,-1,1,1,-1,1
2748,1.0,1.0,1.0,1.0,1,1,1,-1,1
2749,-0.5,1.5,1.0,1.0,1,1,1,-1,1
2750,-0.5,-0.5,-0.5,2.0,1,1,-1,-1,1
2751,1.0,1.0,0.5,1.0,3,-1,-1,3,2
2752,-0.5,1.0,1.0,0.5,-1,1,1,-1,2
2753,-0.5,-0.5,0.5,1.0,6,1,-2,-1,1
2754,1.5,1.0,0.5,1.0,1,1,1,1,2
2755,1.5,1.0,0.5,2.0,3,1,1,3,2
2756,1.0,-0.5,1.0,1.0,1,1,1,1,1
2757,-0.5,-0.5,0.5,1.0,1,1,1,1,1
2758,-0.5,-0.5,1.0,1.0,1,1,1,1,1
2759,1.0,1.0,0.5,1.0,3,1,-1,3,2
2760,-2.0,-0.5,1.0,1.0,-1,1,1,-2,1
2761,1.0,-0.5,1.0,1.0,-1,1,-1,-1,2
2762,1.0,1.0,1.0,1.0,-2,2,1,-2,2
2763,-0.5,-0.5,-0.5,0.5,-1,1,1,-1,2
2764,1.0,1.0,1.0,1.0,1,1,1,1,1
2765,1.5,-0.5,1.0,0.5,-1,-1,1,3,1
2766,-2.0,1.0,1.0,0.5,-1,1,1,-1,2
2767,-0.5,1.0,1.0,1.0,-1,1,1,-1,2
2768,1.0,1.0,1.0,1.0,-2,-1,1,3,2
2769,1.5,1.0,0.5,1.0,6,-1,-2,6,2
2770,-2.0,1.0,1.0,1.0,-2,2,1,-1,1
2771,1.5,6.0,1.0,2.0,1,-1,-1,3,2
2772,1.0,1.0,2.0,2.0,1,1,-1,-1,1
2773,-0.5,1.0,0.5,0.5,-1,1,1,1,1
2774,1.0,1.0,1.0,1.0,1,1,1,-1,1
2775,-0.5,-0.5,1.0,1.0,1,1,-1,3,2
2776,1.0,1.0,0.5,2.0,1,1,-1,1,1
2777,1.5,1.0,1.0,1.0,3,-1,1,3,2
2778,1.5,1.5,0.5,1.0,1,1,1,1,2
2779,1.0,-0.5,1.0,1.0,-2,1,1,-2,2
2780,-0.5,-0.5,0.5,0.5,-1,-1,1,-1,1
2781,1.0,1.0,0.5,1.0,1,1,-1,1,2
2782,-0.5,1.0,1.0,1.0,-1,2,1,-2,2
2783,1.5,1.0,0.5,2.0,3,1,-1,3,2
2784,-0.5,-0.5,1.0,2.0,-1,1,1,-1,1
2785,1.0,-0.5,-0.5,2.0,1,1,-1,1,1
2786,1.0,6.0,1.0,1.0,1,1,1,1,1
2787,-0.5,1.0,0.5,0.5,-1,1,2,-1,2
2788,1.0,1.0,0.5,2.0,1,1,-1,1,2
2789,-2.0,-0.5,-0.5,0.5,-2,1,-2,-2,2
2790,-0.5,1.0,1.0,1.0,1,-1,1,-2,2
2791,-0.5,-0.5,1.0,1.0,-1,1,-1,-1,1
2792,1.5,1.0,-0.5,2.0,3,1,-1,1,2
2793,1.0,1.0,1.0,2.0,1,1,1,1,1
2794,-2.0,-0.5,1.0,0.5,-2,1,1,-2,2
2795,-0.5,1.0,1.0,1.0,-1,1,-1,-1,1
2796,-0.5,-0.5,1.0,1.0,1,1,-1,1,2
2797,1.0,1.0,1.0,0.5,1,1,1,1,1
2798,-0.5,1.0,2.0,1.0,1,1,-1,1,1
2799,-0.5,1.0,1.0,1.0,-2,1,-1,-1,2
2800,1.0,1.0,0.5,2.0,1,1,-2,3,2
2801,1.5,-0.5,0.5,2.0,1,1,1,1,1
2802,-2.0,1.0,1.0,1.0,-1,2,1,-1,2
2803,1.0,1.0,1.0,1.0,3,-1,-1,1,1
2804,1.5,1.0,0.5,1.0,1,1,-1,1,1
2805,1.0,1.0,1.0,1.0,1,1,1,1,2
2806,1.5,1.5,-0.5,2.0,1,1,-2,3,2
2807,-0.5,1.5,2.0,1.0,-1,1,-1,-1,1
2808,1.0,1.5,0.5,2.0,3,-1,-1,1,2
2809,-0.5,1.0,0.5,1.0,-1,2,2,-1,2
2810,-2.0,-0.5,1.0,1.0,1,1,1,-1,1
2811,-0.5,-0.5,1.0,0.5,-1,2,1,-1,2
2812,-2.0,-0.5,1.0,1.0,3,1,1,1,1
2813,1.0,1.0,2.0,1.0,1,1,-2,1,2
2814,1.0,1.0,0.5,1.0,3,1,-1,3,2
2815,-0.5,1.0,-0.5,0.5,-1,1,-1,1,1
2816,-2.0,-0.5,1.0,1.0,-2,2,1,-2,2
2817,-0.5,1.5,-0.5,1.0,-1,1,-1,1,1
2818,-0.5,1.0,0.5,2.0,1,1,-1,-1,2
2819,1.0,1.0,1.0,1.0,1,1,-1,3,2
2820,-2.0,6.0,1.0,1.0,-1,2,-1,-1,2
2821,1.0,-0.5,1.0,1.0,-1,2,1,-1,1
2822,-0.5,-2.0,1.0,0.5,-2,1,1,-1,1
2823,-0.5,1.5,1.0,1.0,1,1,1,-1,1
2824,1.0,1.0,0.5,2.0,3,1,-1,3,2
